year,relay_review_count,keyword
2011,1,natural
2012,5,natural
2013,1,natural
2014,7,natural
2015,8,natural
2016,8,natural
2017,5,natural
2018,6,natural
2019,8,natural
2020,10,natural
2021,10,natural
2022,6,natural
2023,2,natural
2011,1,mineral
2013,1,mineral
2014,1,mineral
2015,2,mineral
2016,3,mineral
2017,4,mineral
2018,7,mineral
2019,4,mineral
2020,12,mineral
2021,10,mineral
2022,11,mineral
2017,1,reef safe
2018,3,reef safe
2019,3,reef safe
2021,6,reef safe
2022,1,reef safe
2023,3,reef safe
2014,4,gentle
2018,1,gentle
2019,1,gentle
2012,4,sensitive
2013,2,sensitive
2014,4,sensitive
2015,6,sensitive
2016,9,sensitive
2017,8,sensitive
2018,10,sensitive
2019,13,sensitive
2020,16,sensitive
2021,19,sensitive
2022,27,sensitive
2023,2,sensitive
2012,1,dermatologist
2014,1,dermatologist
2015,6,dermatologist
2016,4,dermatologist
2017,4,dermatologist
2018,3,dermatologist
2019,6,dermatologist
2020,3,dermatologist
2021,4,dermatologist
2022,5,dermatologist
2012,3,white cast
2013,1,white cast
2015,1,white cast
2016,3,white cast
2017,3,white cast
2018,4,white cast
2019,6,white cast
2020,9,white cast
2021,19,white cast
2022,14,white cast
2023,3,white cast
2012,4,non-greasy
2015,1,non-greasy
2016,2,non-greasy
2017,1,non-greasy
2018,4,non-greasy
2021,2,non-greasy
2022,1,non-greasy
2012,2,clean
2014,3,clean
2016,5,clean
2017,3,clean
2018,4,clean
2019,4,clean
2020,4,clean
2021,7,clean
2022,7,clean
2023,2,clean
2013,2,broad spectrum
2014,1,broad spectrum
2015,1,broad spectrum
2016,1,broad spectrum
2017,2,broad spectrum
2018,1,broad spectrum
2019,1,broad spectrum
2020,2,broad spectrum
2022,1,broad spectrum
